Reaction ID	Name	Subsystem	Reaction (IDs)	Reaction (Names)	Reaction (CHEBI)	Substrates (BiGG)	Genes	UIDs
ULA4NFT	UDP-L-Ara4N formyltransferase	Lipopolysaccharide Biosynthesis / Recycling	1.0 10fthf_c + 1.0 udpLa4n_c = 1.0 h_c + 1.0 thf_c + 1.0 udpLa4fn_c	1.0 10-Formyltetrahydrofolate + 1.0 Uridine 5''-diphospho-{beta}-4-deoxy-4-amino-L-arabinose = 1.0 H+ + 1.0 5,6,7,8-Tetrahydrofolate + 1.0 Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose	1.0 CHEBI:19108 + 1.0 CHEBI:58708 = 1.0 CHEBI:5584 + 1.0 CHEBI:57453 + 1.0 CHEBI:47027	{'udpLa4n', 'udpLa4fn', '10fthf', 'thf', 'h'}	arnA	P77398
EX_acgam1p_e	N-Acetyl-D-glucosamine 1-phosphate exchange	Extracellular exchange	1.0 acgam1p_e = 	1.0 N-Acetyl-D-glucosamine 1-phosphate = 	1.0 CHEBI:7125 = 	{'acgam1p'}	Unknown	Unknown
NTD11pp	5'-nucleotidase (IMP)	Nucleotide Salvage Pathway	1.0 h2o_p + 1.0 imp_p = 1.0 ins_p + 1.0 pi_p	1.0 H2O H2O + 1.0 IMP C10H11N4O8P = 1.0 Inosine + 1.0 Phosphate	1.0 CHEBI:13352 + 1.0 CHEBI:43524 = 1.0 CHEBI:17596 + 1.0 CHEBI:26078	{'imp', 'pi', 'ins', 'h2o'}	ushA, aphA	P07024, P0AE22
EX_galt_e	Galactitol exchange	Extracellular exchange	1.0 galt_e = 	1.0 Galactitol = 	1.0 CHEBI:53575 = 	{'galt'}	Unknown	Unknown
DKGLCNR2x	2,5-diketo-D-gluconate reductase (NADH)	Alternate Carbon Metabolism	1.0 25dkglcn_c + 1.0 h_c + 1.0 nadh_c = 1.0 5dglcn_c + 1.0 nad_c	1.0 2,5-diketo-D-gluconate + 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide - reduced = 1.0 5-Dehydro-D-gluconate + 1.0 Nicotinamide adenine dinucleotide	1.0 CHEBI:1070 + 1.0 CHEBI:5584 + 1.0 CHEBI:13395 = 1.0 CHEBI:12121 + 1.0 CHEBI:7422	{'25dkglcn', 'nad', '5dglcn', 'nadh', 'h'}	ghrB	P37666
ACGS	N-acetylglutamate synthase	Arginine and Proline Metabolism	1.0 accoa_c + 1.0 glu__L_c = 1.0 acglu_c + 1.0 coa_c + 1.0 h_c	1.0 Acetyl-CoA + 1.0 L-Glutamate = 1.0 N-Acetyl-L-glutamate + 1.0 Coenzyme A + 1.0 H+	1.0 CHEBI:57288 + 1.0 CHEBI:76051 = 1.0 CHEBI:7150 + 1.0 CHEBI:41631 + 1.0 CHEBI:5584	{'acglu', 'coa', 'accoa', 'glu__L', 'h'}	argA	P0A6C5
PDE1	3',5'-cyclic-nucleotide phosphodiesterase	Nucleotide Salvage Pathway	1.0 camp_c + 1.0 h2o_c = 1.0 amp_c + 1.0 h_c	1.0 CAMP C10H11N5O6P + 1.0 H2O H2O = 1.0 AMP C10H12N5O7P + 1.0 H+	1.0 CHEBI:19827 + 1.0 CHEBI:13352 = 1.0 CHEBI:13736 + 1.0 CHEBI:5584	{'camp', 'h', 'amp', 'h2o'}	dosP, cpdA	P76129, P0AEW4
UPLA4FNT	Undecaprenyl phosphate-L-Ara4FN transferase	Lipopolysaccharide Biosynthesis / Recycling	1.0 udcpp_c + 1.0 udpLa4fn_c = 1.0 uLa4fn_c + 1.0 udp_c	1.0 Undecaprenyl phosphate + 1.0 Uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-L-arabinose = 1.0 Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose + 1.0 UDP C9H11N2O12P2	1.0 CHEBI:15286 + 1.0 CHEBI:47027 = 1.0 Unknown + 1.0 CHEBI:13445	{'udcpp', 'uLa4fn', 'udpLa4fn', 'udp'}	arnC	P77757
UPLA4FNF	Undecaprenyl phosphate-L-Ara4FN formylase	Lipopolysaccharide Biosynthesis / Recycling	1.0 h2o_c + 1.0 uLa4fn_c = 1.0 for_c + 1.0 uLa4n_c	1.0 H2O H2O + 1.0 Undecaprenyl phosphate-4-amino-4-formyl-L-arabinose = 1.0 Formate + 1.0 Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose	1.0 CHEBI:13352 + 1.0 Unknown = 1.0 CHEBI:24081 + 1.0 Unknown	{'uLa4n', 'for', 'uLa4fn', 'h2o'}	arnD	P76472
ULA4Ntppi	Transport (cytoplasm to periplasm)	Lipopolysaccharide Biosynthesis / Recycling	1.0 uLa4n_c = 1.0 uLa4n_p	1.0 Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose = 1.0 Undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose	1.0 Unknown = 1.0 Unknown	{'uLa4n'}	arnF, arnE	P76474, Q47377
HEPT1	Heptosyltransferase I (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 adphep_LD_c + 1.0 lipa_c = 1.0 adp_c + 1.0 h_c + 1.0 hlipa_c	1.0 ADP-L-glycero-D-manno-heptose + 1.0 KDO(2)-lipid (A) = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Heptosyl-kdo2-lipidA	1.0 CHEBI:57564 + 1.0 CHEBI:27963 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:61502	{'h', 'adp', 'adphep_LD', 'hlipa', 'lipa'}	waaC	P24173
MCITD	2-methylcitrate dehydratase	Alternate Carbon Metabolism	1.0 2mcit_c = 1.0 2mcacn_c + 1.0 h2o_c	1.0 2-Methylcitrate = 1.0 Cis-2-Methylaconitate + 1.0 H2O H2O	1.0 CHEBI:30836 = 1.0 CHEBI:57872 + 1.0 CHEBI:13352	{'2mcit', '2mcacn', 'h2o'}	prpD	P77243
EX_glcur1p_e	D-Glucuronate 1-phosphate exchange	Extracellular exchange	1.0 glcur1p_e = 	1.0 D-Glucuronate 1-phosphate = 	1.0 CHEBI:4179 = 	{'glcur1p'}	Unknown	Unknown
GLCATr	D-glucose O-acetyltransferase	Alternate Carbon Metabolism	1.0 accoa_c + 1.0 glc__D_c = 1.0 acglc__D_c + 1.0 coa_c	1.0 Acetyl-CoA + 1.0 D-Glucose = 1.0 6-Acetyl-D-glucose + 1.0 Coenzyme A	1.0 CHEBI:57288 + 1.0 CHEBI:12965 = 1.0 CHEBI:2166 + 1.0 CHEBI:41631	{'coa', 'glc__D', 'acglc__D', 'accoa'}	maa	P77791
ALR2	Aldose reductase (methylglyoxal)	Methylglyoxal Metabolism	1.0 h_c + 1.0 mthgxl_c + 1.0 nadph_c = 1.0 acetol_c + 1.0 nadp_c	1.0 H+ + 1.0 Methylglyoxal + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced = 1.0 Acetol cytosol + 1.0 Nicotinamide adenine dinucleotide phosphate	1.0 CHEBI:5584 + 1.0 CHEBI:14599 + 1.0 CHEBI:16474 = 1.0 CHEBI:27957 + 1.0 CHEBI:29868	{'acetol', 'nadp', 'nadph', 'mthgxl', 'h'}	dkgA, dkgB, yeaE, gpr	Q46857, P30863, P76234, Q46851
AMALT2	Amylomaltase (maltotetraose)	Alternate Carbon Metabolism	1.0 malt_c + 1.0 maltttr_c = 1.0 glc__D_c + 1.0 maltpt_c	1.0 Maltose C12H22O11 + 1.0 Maltotetraose = 1.0 D-Glucose + 1.0 Maltopentaose	1.0 CHEBI:6668 + 1.0 CHEBI:6671 = 1.0 CHEBI:12965 + 1.0 CHEBI:61952	{'maltttr', 'glc__D', 'maltpt', 'malt'}	malQ	P15977
MLTP1	Maltodextrin phosphorylase (maltopentaose)	Alternate Carbon Metabolism	1.0 maltpt_c + 1.0 pi_c = 1.0 g1p_c + 1.0 maltttr_c	1.0 Maltopentaose + 1.0 Phosphate = 1.0 D-Glucose 1-phosphate + 1.0 Maltotetraose	1.0 CHEBI:61952 + 1.0 CHEBI:26078 = 1.0 CHEBI:10246 + 1.0 CHEBI:6671	{'maltttr', 'pi', 'g1p', 'maltpt'}	malP	P00490
HEPT2	Heptosyltransferase II (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 adphep_LD_c + 1.0 hlipa_c = 1.0 adp_c + 1.0 h_c + 1.0 hhlipa_c	1.0 ADP-L-glycero-D-manno-heptose + 1.0 Heptosyl-kdo2-lipidA = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Heptosyl-heptosyl-kdo2-lipidA	1.0 CHEBI:57564 + 1.0 CHEBI:61502 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 CHEBI:61507	{'h', 'adp', 'adphep_LD', 'hlipa', 'hhlipa'}	waaF	P37692
ALAALAr	D-alanine-D-alanine ligase (reversible)	Cell Envelope Biosynthesis	2.0 ala__D_c + 1.0 atp_c = 1.0 adp_c + 1.0 alaala_c + 1.0 h_c + 1.0 pi_c	2.0 D-Alanine + 1.0 ATP C10H12N5O13P3 = 1.0 ADP C10H12N5O10P2 + 1.0 D-Alanyl-D-alanine + 1.0 H+ + 1.0 Phosphate	2.0 CHEBI:12899 + 1.0 CHEBI:15422 = 1.0 CHEBI:2342 + 1.0 CHEBI:13749 + 1.0 CHEBI:5584 + 1.0 CHEBI:26078	{'atp', 'adp', 'alaala', 'ala__D', 'pi', 'h'}	ddlA, ddlB	P0A6J8, P07862
EX_thrp_e	L-Threonine O-3-phosphate exchange	Extracellular exchange	1.0 thrp_e = 	1.0 L-Threonine O-3-phosphate = 	1.0 CHEBI:58675 = 	{'thrp'}	Unknown	Unknown
HXAND	Hypoxanthine dehydrogenase	Nucleotide Salvage Pathway	1.0 h2o_c + 1.0 hxan_c + 1.0 nad_c = 1.0 h_c + 1.0 nadh_c + 1.0 xan_c	1.0 H2O H2O + 1.0 Hypoxanthine + 1.0 Nicotinamide adenine dinucleotide = 1.0 H+ + 1.0 Nicotinamide adenine dinucleotide - reduced + 1.0 Xanthine	1.0 CHEBI:13352 + 1.0 CHEBI:14431 + 1.0 CHEBI:7422 = 1.0 CHEBI:5584 + 1.0 CHEBI:13395 + 1.0 CHEBI:15318	{'xan', 'h2o', 'nad', 'hxan', 'nadh', 'h'}	xdhA, xdhB, xdhC	Q46799, Q46800, Q46801
EX_fald_e	Formaldehyde exchange	Extracellular exchange	1.0 fald_e = 	1.0 Formaldehyde = 	1.0 CHEBI:16842 = 	{'fald'}	Unknown	Unknown
EX_pydxn_e	Pyridoxine exchange	Extracellular exchange	1.0 pydxn_e = 	1.0 Pyridoxine = 	1.0 CHEBI:14981 = 	{'pydxn'}	Unknown	Unknown
EX_acgal_e	N-Acetyl-D-galactosamine exchange	Extracellular exchange	1.0 acgal_e = 	1.0 N-Acetyl-D-galactosamine = 	1.0 CHEBI:21502 = 	{'acgal'}	Unknown	Unknown
EX_so2_e	Sulfur dioxide exchange	Extracellular exchange	1.0 so2_e = 	1.0 Sulfur dioxide = 	1.0 CHEBI:45789 = 	{'so2'}	Unknown	Unknown
EX_dms_e	Dimethyl sulfide exchange	Extracellular exchange	1.0 dms_e = 	1.0 Dimethyl sulfide = 	1.0 CHEBI:17437 = 	{'dms'}	Unknown	Unknown
MOAT3C	3-deoxy-D-manno-octulosonic acid transferase III (LPS core biosynthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 ckdo_c + 1.0 phphhlipa_c = 1.0 cmp_c + 1.0 h_c + 1.0 kphphhlipa_c	1.0 CMP-3-deoxy-D-manno-octulosonate + 1.0 Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA = 1.0 CMP C9H12N3O8P + 1.0 H+ + 1.0 Kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	1.0 CHEBI:59825 + 1.0 Unknown = 1.0 CHEBI:60377 + 1.0 CHEBI:5584 + 1.0 Unknown	{'kphphhlipa', 'cmp', 'phphhlipa', 'ckdo', 'h'}	waaZ	P27241
ADNK1	Adenosine kinase	Nucleotide Salvage Pathway	1.0 adn_c + 1.0 atp_c = 1.0 adp_c + 1.0 amp_c + 1.0 h_c	1.0 Adenosine + 1.0 ATP C10H12N5O13P3 = 1.0 ADP C10H12N5O10P2 + 1.0 AMP C10H12N5O7P + 1.0 H+	1.0 CHEBI:22237 + 1.0 CHEBI:15422 = 1.0 CHEBI:2342 + 1.0 CHEBI:13736 + 1.0 CHEBI:5584	{'atp', 'adp', 'adn', 'amp', 'h'}	adk	P69441
RHAT1	Rhamnosyltransferase I (LPS core biosynthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 dtdprmn_c + 1.0 kphphhlipa_c = 1.0 dtdp_c + 1.0 h_c + 1.0 icolipa_c	1.0 DTDP-L-rhamnose + 1.0 Kdo-phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA = 1.0 DTDP C10H13N2O11P2 + 1.0 H+ + 1.0 Inner core oligosaccharide lipid A (E coli)	1.0 CHEBI:15774 + 1.0 Unknown = 1.0 CHEBI:58369 + 1.0 CHEBI:5584 + 1.0 Unknown	{'dtdprmn', 'kphphhlipa', 'icolipa', 'dtdp', 'h'}	waaS	P27126
GALT1	Galactosyltransferase I (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 gicolipa_c + 1.0 udpg_c = 1.0 gagicolipa_c + 1.0 h_c + 1.0 udp_c	1.0 Glucosyl-inner core oligosaccharide lipid A + 1.0 UDPglucose = 1.0 Galactosyl-glucosyl-inner core oligosaccharide lipid A + 1.0 H+ + 1.0 UDP C9H11N2O12P2	1.0 Unknown + 1.0 CHEBI:13505 = 1.0 Unknown + 1.0 CHEBI:5584 + 1.0 CHEBI:13445	{'gicolipa', 'gagicolipa', 'udpg', 'udp', 'h'}	waaB	P27127
GLCTR2	Glucosyltransferase II (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 gagicolipa_c + 1.0 udpg_c = 1.0 ggagicolipa_c + 1.0 h_c + 1.0 udp_c	1.0 Galactosyl-glucosyl-inner core oligosaccharide lipid A + 1.0 UDPglucose = 1.0 Glucosyl-galactosyl-glucosyl-inner core oligosaccharide lipid A + 1.0 H+ + 1.0 UDP C9H11N2O12P2	1.0 Unknown + 1.0 CHEBI:13505 = 1.0 Unknown + 1.0 CHEBI:5584 + 1.0 CHEBI:13445	{'ggagicolipa', 'gagicolipa', 'udpg', 'udp', 'h'}	waaO	P27128
G2PPpp	Glycerol 2-phosphate phosphatase (periplasmic)	Alternate Carbon Metabolism	1.0 glyc2p_p + 1.0 h2o_p = 1.0 glyc_p + 1.0 pi_p	1.0 Glycerol 2-phosphate + 1.0 H2O H2O = 1.0 Glycerol + 1.0 Phosphate	1.0 CHEBI:26704 + 1.0 CHEBI:13352 = 1.0 CHEBI:5448 + 1.0 CHEBI:26078	{'glyc', 'pi', 'glyc2p', 'h2o'}	aphA, phoA	P0AE22, P00634
UDPGPpp	UDPglucose pyrophosphohydrolase	Alternate Carbon Metabolism	1.0 h2o_p + 1.0 udpg_p = 1.0 g1p_p + 2.0 h_p + 1.0 ump_p	1.0 H2O H2O + 1.0 UDPglucose = 1.0 D-Glucose 1-phosphate + 2.0 H+ + 1.0 UMP C9H11N2O9P	1.0 CHEBI:13352 + 1.0 CHEBI:13505 = 1.0 CHEBI:10246 + 2.0 CHEBI:5584 + 1.0 CHEBI:47721	{'h2o', 'g1p', 'udpg', 'ump', 'h'}	ushA	P07024
EX_acgal1p_e	N-Acetyl-D-galactosamine 1-phosphate exchange	Extracellular exchange	1.0 acgal1p_e = 	1.0 N-Acetyl-D-galactosamine 1-phosphate = 	1.0 CHEBI:55404 = 	{'acgal1p'}	Unknown	Unknown
EX_cyan_e	Hydrogen cyanide exchange	Extracellular exchange	1.0 cyan_e = 	1.0 Hydrogen cyanide = 	1.0 CHEBI:18407 = 	{'cyan'}	Unknown	Unknown
EX_tyrp_e	Phosphotyrosine exchange	Extracellular exchange	1.0 tyrp_e = 	1.0 Phosphotyrosine = 	1.0 CHEBI:45080 = 	{'tyrp'}	Unknown	Unknown
HEPK1	LPS heptose kinase I (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 atp_c + 1.0 hhlipa_c = 1.0 adp_c + 1.0 h_c + 1.0 phhlipa_c	1.0 ATP C10H12N5O13P3 + 1.0 Heptosyl-heptosyl-kdo2-lipidA = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phospho-heptosyl-heptosyl-kdo2-lipidA	1.0 CHEBI:15422 + 1.0 CHEBI:61507 = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 Unknown	{'atp', 'h', 'adp', 'phhlipa', 'hhlipa'}	waaP	P25741
HEPT3	Heptosyltransferase III (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 adphep_LD_c + 1.0 phhlipa_c = 1.0 adp_c + 1.0 h_c + 1.0 hphhlipa_c	1.0 ADP-L-glycero-D-manno-heptose + 1.0 Phospho-heptosyl-heptosyl-kdo2-lipidA = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	1.0 CHEBI:57564 + 1.0 Unknown = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 Unknown	{'adp', 'hphhlipa', 'adphep_LD', 'phhlipa', 'h'}	waaQ	P25742
HEPK2	LPS heptose kinase II (LPS core synthesis)	Lipopolysaccharide Biosynthesis / Recycling	1.0 atp_c + 1.0 hphhlipa_c = 1.0 adp_c + 1.0 h_c + 1.0 phphhlipa_c	1.0 ATP C10H12N5O13P3 + 1.0 Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA = 1.0 ADP C10H12N5O10P2 + 1.0 H+ + 1.0 Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	1.0 CHEBI:15422 + 1.0 Unknown = 1.0 CHEBI:2342 + 1.0 CHEBI:5584 + 1.0 Unknown	{'atp', 'adp', 'hphhlipa', 'phphhlipa', 'h'}	waaY	P27240
ALDD3y	Aldehyde dehydrogenase (propanal, NADP)	Alternate Carbon Metabolism	1.0 h2o_c + 1.0 nadp_c + 1.0 ppal_c = 2.0 h_c + 1.0 nadph_c + 1.0 ppa_c	1.0 H2O H2O + 1.0 Nicotinamide adenine dinucleotide phosphate + 1.0 Propanal = 2.0 H+ + 1.0 Nicotinamide adenine dinucleotide phosphate - reduced + 1.0 Propionate (n-C3:0)	1.0 CHEBI:13352 + 1.0 CHEBI:29868 + 1.0 CHEBI:45052 = 2.0 CHEBI:5584 + 1.0 CHEBI:16474 + 1.0 Unknown	{'nadp', 'nadph', 'ppal', 'h2o', 'ppa', 'h'}	aldB, ahr, yqhD	P37685, P27250, Q46856
EX_uacgam_e	UDP-N-acetyl-D-glucosamine exchange	Extracellular exchange	1.0 uacgam_e = 	1.0 UDP-N-acetyl-D-glucosamine = 	1.0 CHEBI:13473 = 	{'uacgam'}	Unknown	Unknown
EX_udpacgal_e	UDP-N-acetyl-D-galactosamine exchange	Extracellular exchange	1.0 udpacgal_e = 	1.0 UDP-N-acetyl-D-galactosamine = 	1.0 CHEBI:16650 = 	{'udpacgal'}	Unknown	Unknown
EX_udpg_e	UDPglucose exchange	Extracellular exchange	1.0 udpg_e = 	1.0 UDPglucose = 	1.0 CHEBI:13505 = 	{'udpg'}	Unknown	Unknown
EX_udpgal_e	UDPgalactose exchange	Extracellular exchange	1.0 udpgal_e = 	1.0 UDPgalactose = 	1.0 CHEBI:22100 = 	{'udpgal'}	Unknown	Unknown
EX_udpglcur_e	UDP-D-glucuronate exchange	Extracellular exchange	1.0 udpglcur_e = 	1.0 UDP-D-glucuronate = 	1.0 CHEBI:46309 = 	{'udpglcur'}	Unknown	Unknown
EX_14glucan_e	1,4-alpha-D-glucan exchange	Extracellular exchange	1.0 14glucan_e = 	1.0 1,4-alpha-D-glucan = 	1.0 Unknown = 	{'14glucan'}	Unknown	Unknown
EX_pser__L_e	O-Phospho-L-serine exchange	Extracellular exchange	1.0 pser__L_e = 	1.0 O-Phospho-L-serine = 	1.0 CHEBI:57524 = 	{'pser__L'}	Unknown	Unknown
R5PP	Ribose 5-phosphate phosphatase	Alternate Carbon Metabolism	1.0 h2o_c + 1.0 r5p_c = 1.0 pi_c + 1.0 rib__D_c	1.0 H2O H2O + 1.0 Alpha-D-Ribose 5-phosphate = 1.0 Phosphate + 1.0 D-Ribose	1.0 CHEBI:13352 + 1.0 CHEBI:18189 = 1.0 CHEBI:26078 + 1.0 CHEBI:13011	{'r5p', 'pi', 'rib__D', 'h2o'}	ybiV, yqaB, umpH, yfbT, yidA	P75792, P77475, P0AF24, P77625, P0A8Y5
EX_xmp_e	Xanthosine 5'-phosphate exchange	Extracellular exchange	1.0 xmp_e = 	1.0 Xanthosine 5'-phosphate = 	1.0 CHEBI:10938 = 	{'xmp'}	Unknown	Unknown
EX_damp_e	DAMP exchange	Extracellular exchange	1.0 damp_e = 	1.0 DAMP C10H12N5O6P = 	1.0 CHEBI:17713 = 	{'damp'}	Unknown	Unknown
CYSSADS	L-cysteine sulfinic acid desulfurase	Cysteine Metabolism	1.0 3sala_c + 2.0 h_c = 1.0 ala__L_c + 1.0 so2_c	1.0 3-Sulfino-L-alanine + 2.0 H+ = 1.0 L-Alanine + 1.0 Sulfur dioxide	1.0 CHEBI:61085 + 2.0 CHEBI:5584 = 1.0 CHEBI:21216 + 1.0 CHEBI:45789	{'ala__L', '3sala', 'so2', 'h'}	csdA, sufS	Q46925, P77444
EX_dimp_e	DIMP exchange	Extracellular exchange	1.0 dimp_e = 	1.0 DIMP C10H12N4O7P = 	1.0 CHEBI:41998 = 	{'dimp'}	Unknown	Unknown
CPPPGO2	Oxygen Independent coproporphyrinogen-III oxidase	Cofactor and Prosthetic Group Biosynthesis	2.0 amet_c + 1.0 cpppg3_c = 2.0 co2_c + 2.0 dad_5_c + 2.0 met__L_c + 1.0 pppg9_c	2.0 S-Adenosyl-L-methionine + 1.0 Coproporphyrinogen III = 2.0 CO2 CO2 + 2.0 5'-Deoxyadenosine + 2.0 L-Methionine + 1.0 Protoporphyrinogen IX	2.0 CHEBI:33442 + 1.0 CHEBI:15439 = 2.0 CHEBI:23011 + 2.0 CHEBI:17319 + 2.0 CHEBI:32644 + 1.0 CHEBI:57307	{'cpppg3', 'pppg9', 'met__L', 'dad_5', 'co2', 'amet'}	hemN	P32131
EX_isetac_e	Isethionic acid exchange	Extracellular exchange	1.0 isetac_e = 	1.0 Isethionic acid = 	1.0 CHEBI:1157 = 	{'isetac'}	Unknown	Unknown
AGM3PH	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide beta -1,4-N-acetylglucosaminidase	Murein Recycling	1.0 anhgm3p_c + 1.0 h2o_c = 1.0 acgam_c + 1.0 anhm3p_c	1.0 N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide + 1.0 H2O H2O = 1.0 N-Acetyl-D-glucosamine + 1.0 1,6-anhydrous-N-Acetylmuramyl-tripeptide	1.0 Unknown + 1.0 CHEBI:13352 = 1.0 CHEBI:21517 + 1.0 Unknown	{'h2o', 'anhm3p', 'anhgm3p', 'acgam'}	nagZ	P75949
EX_aso3_e	Arsenite exchange	Extracellular exchange	1.0 aso3_e = 	1.0 Arsenite = 	1.0 CHEBI:2846 = 	{'aso3'}	Unknown	Unknown
EX_tcynt_e	Thiocyanate exchange	Extracellular exchange	1.0 tcynt_e = 	1.0 Thiocyanate = 	1.0 CHEBI:29200 = 	{'tcynt'}	Unknown	Unknown
EX_fe3dhbzs_e	Ferric 2,3-dihydroxybenzoylserine exchange	Extracellular exchange	1.0 fe3dhbzs_e = 	1.0 Ferric 2,3-dihydroxybenzoylserine = 	1.0 Unknown = 	{'fe3dhbzs'}	Unknown	Unknown
AGM3PApp	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm)	Murein Recycling	1.0 anhgm3p_p + 1.0 h2o_p = 1.0 LalaDgluMdap_p + 1.0 anhgm_p	1.0 N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide + 1.0 H2O H2O = 1.0 L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate + 1.0 N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	1.0 Unknown + 1.0 CHEBI:13352 = 1.0 Unknown + 1.0 Unknown	{'LalaDgluMdap', 'anhgm', 'anhgm3p', 'h2o'}	amiB, amiA, amiC, amiD	P26365, P36548, P63883, P75820
PPPGO	Protoporphyrinogen oxidase (aerobic)	Cofactor and Prosthetic Group Biosynthesis	1.5 o2_c + 1.0 pppg9_c = 3.0 h2o_c + 1.0 ppp9_c	1.5 O2 O2 + 1.0 Protoporphyrinogen IX = 3.0 H2O H2O + 1.0 Protoporphyrin	1.5 CHEBI:7860 + 1.0 CHEBI:57307 = 3.0 CHEBI:13352 + 1.0 CHEBI:15430	{'o2', 'pppg9', 'ppp9', 'h2o'}	hemG	P0ACB4
EX_feoxam_un_e	Ferroxamine minus Fe(3) exchange	Extracellular exchange	1.0 feoxam_un_e = 	1.0 Ferroxamine minus Fe(3) = 	1.0 Unknown = 	{'feoxam_un'}	Unknown	Unknown
LDH_D2	D-lactate dehydrogenase	Oxidative Phosphorylation	1.0 lac__D_c + 1.0 q8_c = 1.0 pyr_c + 1.0 q8h2_c	1.0 D-Lactate + 1.0 Ubiquinone-8 = 1.0 Pyruvate + 1.0 Ubiquinol-8	1.0 CHEBI:16004 + 1.0 CHEBI:61683 = 1.0 CHEBI:26462 + 1.0 CHEBI:61682	{'pyr', 'q8', 'q8h2', 'lac__D'}	dld	P06149
EX_g3pc_e	Sn-Glycero-3-phosphocholine exchange	Extracellular exchange	1.0 g3pc_e = 	1.0 Sn-Glycero-3-phosphocholine = 	1.0 CHEBI:55397 = 	{'g3pc'}	Unknown	Unknown
EX_g3pg_e	Glycerophosphoglycerol exchange	Extracellular exchange	1.0 g3pg_e = 	1.0 Glycerophosphoglycerol = 	1.0 CHEBI:61933 = 	{'g3pg'}	Unknown	Unknown
EX_g3pi_e	Sn-Glycero-3-phospho-1-inositol exchange	Extracellular exchange	1.0 g3pi_e = 	1.0 Sn-Glycero-3-phospho-1-inositol = 	1.0 CHEBI:26695 = 	{'g3pi'}	Unknown	Unknown
SHCHF	Sirohydrochlorin ferrochelatase	Cofactor and Prosthetic Group Biosynthesis	1.0 fe2_c + 1.0 scl_c = 3.0 h_c + 1.0 sheme_c	1.0 Fe2+ mitochondria + 1.0 Sirohydrochlorin = 3.0 H+ + 1.0 Siroheme C42H36FeN4O16	1.0 CHEBI:29033 + 1.0 CHEBI:58351 = 3.0 CHEBI:5584 + 1.0 CHEBI:9166	{'sheme', 'h', 'scl', 'fe2'}	cysG	P0AEA8
SUCOAS	Succinyl-CoA synthetase (ADP-forming)	Citric Acid Cycle	1.0 atp_c + 1.0 coa_c + 1.0 succ_c = 1.0 adp_c + 1.0 pi_c + 1.0 succoa_c	1.0 ATP C10H12N5O13P3 + 1.0 Coenzyme A + 1.0 Succinate = 1.0 ADP C10H12N5O10P2 + 1.0 Phosphate + 1.0 Succinyl-CoA	1.0 CHEBI:15422 + 1.0 CHEBI:41631 + 1.0 CHEBI:22941 = 1.0 CHEBI:2342 + 1.0 CHEBI:26078 + 1.0 CHEBI:57292	{'succoa', 'atp', 'succ', 'coa', 'adp', 'pi'}	sucD, sucC	P0AGE9, P0A836
